q1_4,q1_5,q1_6,q1_7,q2_2,q2_3,q3_1,q3_3,q3_6,q3_8,q1_1,q1_2,q1_3,q1_8,q1_9,q2_1,q2_4,q2_5,q2_6,q2_7,q2_8,q2_9,q3_2,q3_4,q3_5,q3_7,q3_9
5,3,3,4,3,2,2,4,5,3,4,4,3,3,4,3,2,4,4,1,3,4,4,3,3,4,3
3,2,4,4,5,5,3,3,4,3,4,3,1,2,4,2,3,3,2,3,3,2,3,3,4,3,4
2,2,1,2,1,2,2,1,1,3,3,3,2,4,1,2,1,3,3,2,1,1,1,2,1,3,3
2,2,2,3,3,3,3,3,1,4,4,3,4,3,2,3,5,1,3,3,4,5,2,2,3,3,5
5,4,2,3,5,3,2,5,5,2,1,3,2,3,2,4,3,1,1,3,4,2,2,3,3,3,3
1,3,2,2,1,1,2,3,2,1,2,2,2,2,1,1,2,3,2,3,1,3,1,2,1,1,3
5,2,2,3,2,1,4,4,4,3,1,4,4,4,3,2,3,2,2,1,2,4,2,2,2,1,2
4,3,5,5,4,5,5,4,5,5,4,4,3,4,4,4,4,3,3,4,4,4,4,1,4,3,3
4,3,4,2,2,5,3,5,3,4,4,1,4,4,3,2,4,4,4,4,5,3,3,4,4,4,4
3,4,3,3,5,3,4,3,4,2,1,3,3,5,3,3,3,2,5,4,4,5,4,2,2,2,5
1,2,3,2,1,3,3,2,3,1,1,2,2,3,1,2,2,4,3,3,1,1,1,1,3,2,2
2,3,3,2,1,4,3,1,4,3,3,3,3,3,2,2,4,3,5,3,2,1,3,1,2,3,4
3,3,2,2,3,4,1,4,2,1,4,2,2,2,3,3,3,4,1,2,3,3,4,4,1,5,3
3,3,3,2,3,3,1,4,3,2,4,3,4,2,2,2,3,2,4,3,5,3,1,3,4,2,4
4,3,3,3,4,5,4,3,3,4,4,2,4,3,3,5,2,4,3,5,3,2,2,3,4,3,3
1,3,2,3,2,1,3,3,2,2,1,1,1,1,1,2,3,2,1,1,2,1,2,2,2,1,1
2,3,3,4,2,1,5,3,2,2,1,2,4,3,2,4,1,3,3,2,2,3,2,3,2,3,3
4,5,3,4,4,4,5,5,4,4,5,5,5,5,4,5,4,2,5,5,5,5,4,5,5,3,5
3,3,3,3,3,2,4,4,3,4,1,4,4,1,2,1,2,2,2,3,2,1,2,1,3,1,4
2,3,4,3,3,5,3,5,4,2,4,3,5,4,4,5,3,2,5,4,4,3,2,2,2,3,2
2,3,2,3,4,3,4,4,3,4,2,3,4,3,4,5,4,5,5,5,3,4,4,3,5,4,2
2,3,2,3,3,5,3,5,4,1,2,4,4,2,4,4,4,3,4,1,4,3,2,4,2,4,2
4,3,3,4,2,5,4,5,4,4,4,3,1,5,3,4,5,5,5,3,4,2,3,5,4,3,3
4,2,4,3,3,5,2,5,4,3,2,4,4,4,3,4,2,3,5,2,5,4,2,3,3,4,4
5,2,2,2,4,2,2,4,3,3,5,4,3,4,5,3,3,4,2,4,3,4,5,5,1,3,3
5,3,4,3,3,5,5,5,3,4,5,4,3,4,4,5,2,5,3,5,4,5,4,4,5,4,5
2,2,3,2,1,1,3,3,2,1,3,4,3,1,3,1,2,5,2,4,2,3,2,2,2,4,4
3,1,2,3,2,3,4,3,2,4,5,2,4,2,2,5,2,3,2,2,4,3,4,2,1,2,5
